zip,donations,total,NAME,variable,estimate,moe,donations_per_1000
21677,128,1134.9900000000007, 21677,zip,353,113,362.6062322946176
21678,43,1922.5899999999997, 21678,zip,1771,339,24.280067758328627
21679,81,2694.7099999999996, 21679,zip,257,99,315.1750972762646
21701,6057,114826.3500000018, 21701,zip,37185,833,162.88826139572407
21702,5174,126991.27000000182, 21702,zip,42028,1098,123.10840392119539
21703,2098,67041.95000000004, 21703,zip,36265,1388,57.851923342065355
21704,1240,58343.60999999997, 21704,zip,16518,734,75.06962101949388
21705,33,1493.22, 21705,zip,0,12,Inf
21710,301,13761.380000000008, 21710,zip,4881,308,61.667691046916616
21711,27,898.0700000000002, 21711,zip,1106,291,24.412296564195298
21713,1288,40229.73999999996, 21713,zip,10379,777,124.09673378938241
21714,12,290.82000000000005, 21714,zip,199,204,60.30150753768844
21716,540,16379.819999999992, 21716,zip,5311,182,101.67576727546601
21717,54,1939.79, 21717,zip,77,60,701.2987012987013
21718,6,494.52, 21718,zip,140,42,42.857142857142854
21719,58,2473.4699999999993, 21719,zip,1036,185,55.98455598455598
21722,317,9866.599999999997, 21722,zip,5667,710,55.93788600670549
21723,215,3686.479999999998, 21723,zip,893,261,240.76147816349382
21727,756,28446.509999999995, 21727,zip,6833,433,110.63954339236061
21733,22,980.28, 21733,zip,911,230,24.149286498353458
21734,64,1267.72, 21734,zip,695,180,92.0863309352518
21737,149,9376.609999999995, 21737,zip,2304,507,64.6701388888889
21738,1641,31309.770000000022, 21738,zip,3416,400,480.3864168618267
21740,41865,136944.65000000247, 21740,zip,61803,1139,677.3943012475122
21742,5487,163741.37000000075, 21742,zip,33180,1046,165.37070524412297
21746,9,552.02, 21746,zip,2953,222,3.047748052827633
21750,165,5061.7199999999975, 21750,zip,3732,267,44.21221864951769
21754,1220,39970.79999999996, 21754,zip,6689,695,182.38899686051727
21755,504,21364.609999999982, 21755,zip,5581,370,90.3063967030998
21756,336,22238.630000000005, 21756,zip,3600,447,93.33333333333334
21757,196,10792.840000000004, 21757,zip,3192,345,61.40350877192982
21758,1294,30557.549999999916, 21758,zip,4912,524,263.43648208469057
21762,53,2202.48, 21762,zip,167,133,317.36526946107784
